"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"205033_s_at"	0.00244553028074459	2.7812240199529e-07	-8.48018121672174	6.84065923198038	-5.23735900851068	"DEFA1B///DEFA3///DEFA1"	"defensin alpha 1B///defensin alpha 3///defensin alpha 1"
"206676_at"	0.00264199069109236	6.00930442645822e-07	-7.99238302959949	6.17234433304764	-6.0633095298731	"CEACAM8"	"carcinoembryonic antigen related cell adhesion molecule 8"
"220631_at"	0.00311156211404875	1.29978182050872e-06	7.52197347251662	5.49337903578037	2.98219086585568	"OSGEPL1"	"O-sialoglycoprotein endopeptidase-like 1"
"209396_s_at"	0.00311156211404875	1.41547235939896e-06	-7.47103481454402	5.41777692330961	-5.92225576726821	"CHI3L1"	"chitinase 3 like 1"
"205557_at"	0.00371932439067226	2.45242185332559e-06	-7.14749715477275	4.92794786210212	-5.63291260020533	"LOC149684///BPI"	"uncharacterized LOC149684///bactericidal/permeability-increasing protein"
"210356_x_at"	0.00371932439067226	3.063935649792e-06	7.01874355027546	4.72834937622721	3.01144296366335	"MS4A1"	"membrane spanning 4-domains A1"
"207269_at"	0.00371932439067226	3.40139306704084e-06	-6.9587580187776	4.63444455291427	-4.8088319571878	"DEFA4"	"defensin alpha 4"
"214575_s_at"	0.00371932439067226	4.12338525663091e-06	-6.84897500202327	4.46107700815785	-5.41111281900308	"AZU1"	"azurocidin 1"
"202979_s_at"	0.00371932439067226	4.43459706974263e-06	6.80771827863927	4.39542060038147	2.33678560419689	"CREBZF"	"CREB/ATF bZIP transcription factor"
"206697_s_at"	0.00371932439067226	4.49590275408012e-06	-6.79994816080006	4.38302428595727	-4.65768645322709	"HP"	"haptoglobin"
"206851_at"	0.00371932439067226	5.04091816789182e-06	-6.73537352952137	4.2796243984366	-4.56698133923336	"RNASE3"	"ribonuclease A family member 3"
"212531_at"	0.00371932439067226	5.43380413222785e-06	-6.69319162242603	4.21171572817977	-5.41279172657244	"LCN2"	"lipocalin 2"
"206220_s_at"	0.00371932439067226	5.49883055598083e-06	6.68651812569709	4.20094562953204	2.87212813487348	"RASA3"	"RAS p21 protein activator 3"
"202742_s_at"	0.00416423482361096	6.63019305476554e-06	6.5820046579538	4.03133332087099	2.88534172845437	"PRKACB"	"protein kinase cAMP-activated catalytic subunit beta"
"202018_s_at"	0.00416979739926286	7.11326748424234e-06	-6.54293425282537	3.96747228909377	-6.68954956859714	"LTF"	"lactotransferrin"
"210254_at"	0.00485437080904845	8.83315511711307e-06	-6.4233532040627	3.77047991419435	-3.78267541592339	"MS4A3"	"membrane spanning 4-domains A3"
"210244_at"	0.0048719652753175	9.88992012200646e-06	-6.3613778665184	3.66747518077081	-5.22529873939434	"CAMP"	"cathelicidin antimicrobial peptide"
"207802_at"	0.0048719652753175	9.97331683790685e-06	-6.35678407745114	3.65981550412364	-6.15993587455917	"CRISP3"	"cysteine rich secretory protein 3"
"203757_s_at"	0.00863809293401563	1.86652753037981e-05	-6.01825796537449	3.08604322835246	-5.42970572622986	"CEACAM6"	"carcinoembryonic antigen related cell adhesion molecule 6"
"202252_at"	0.00969972345430306	2.2272199216594e-05	-5.92432528737436	2.92360772700785	-3.04217542358123	"RAB13"	"RAB13, member RAS oncogene family"
"220800_s_at"	0.00969972345430306	2.31654944319759e-05	5.90350337713616	2.88741335196838	1.75015648989896	"TMOD3"	"tropomodulin 3"
"210538_s_at"	0.0103956755521279	2.60098785564443e-05	5.84236069215679	2.78073906355037	2.16351126163634	"BIRC3"	"baculoviral IAP repeat containing 3"
"220386_s_at"	0.0120382550158256	3.18901937135115e-05	5.73538966909388	2.59271638072727	2.27857442969483	"EML4"	"echinoderm microtubule associated protein like 4"
"208925_at"	0.0120382550158256	3.28577414283878e-05	5.71977019871984	2.5651149475513	1.7341009753984	"CLDND1"	"claudin domain containing 1"
"206828_at"	0.014144554624396	4.0215383328773e-05	5.61461401033718	2.37832640014983	2.21929153039612	"TXK"	"TXK tyrosine kinase"
